model_type,model_name,category,spearman,accuracy
DeBERTa,deberta-finetune,-,0.7103613485673201,0.82
DeBERTa,deberta-finetune-2,-,0.7716356709446882,0.85
DeBERTa,smollm-finetune-135M,-,0.3620449782145975,0.66
DeBERTa,smollm-finetune-360M,-,0.6783670613449327,0.76
LLM,qwen2.5-coder,zero-shot,0.5875819348454494,0.77
LLM,olmo-3-think,zero-shot,0.6231983653659102,0.68
LLM,granite3.3,zero-shot,0.6108372830913754,0.67
LLM,llama3.1,zero-shot,0.6206670686994057,0.79
LLM,olmo-3-7b-instruct,zero-shot,0.5643091720203991,0.65
LLM,gemma3,zero-shot,0.6347209353683209,0.76
LLM,deepseek-r1,zero-shot,0.7215588197557037,0.77
LLM,qwen3,zero-shot,0.6905328988139541,0.79
LLM,deepseek-r1-think,zero-shot,0.6504665947335703,0.69
LLM,phi4-mini,zero-shot,0.5351353418403643,0.75
LLM,ministral-3,zero-shot,0.7105238294482429,0.67
LLM,openai-gpt-oss-120b,zero-shot,0.6238431156747593,0.72
LLM,qwen2.5-coder,five-shot,0.5450658666287364,0.75
LLM,olmo-3-think,five-shot,0.4913225231409942,0.62
LLM,granite3.3,five-shot,0.6356579947433298,0.71
LLM,llama3.1,five-shot,0.46718065299930717,0.71
LLM,olmo-3-7b-instruct,five-shot,0.5364450297034221,0.66
LLM,gemma3,five-shot,0.6353918486192535,0.77
LLM,deepseek-r1,five-shot,0.6174277030320983,0.67
LLM,qwen3,five-shot,0.534963968742371,0.74
LLM,deepseek-r1-think,five-shot,0.6298055837217469,0.72
LLM,phi4-mini,five-shot,0.5171755315030896,0.73
LLM,ministral-3,five-shot,0.7372216855028555,0.67
LLM,openai-gpt-oss-120b,five-shot,0.7116178015312287,0.71
LLM,qwen2.5-coder,zero-shot-deberta,0.5858140327330381,0.77
LLM,olmo-3-think,zero-shot-deberta,0.7383285861960384,0.77
LLM,granite3.3,zero-shot-deberta,0.6408293026583624,0.65
LLM,llama3.1,zero-shot-deberta,0.6427194801804245,0.81
LLM,olmo-3-7b-instruct,zero-shot-deberta,0.5823983642723305,0.67
LLM,gemma3,zero-shot-deberta,0.6352500164480943,0.78
LLM,deepseek-r1,zero-shot-deberta,0.6827090000091863,0.77
LLM,qwen3,zero-shot-deberta,0.7190338427891814,0.82
LLM,deepseek-r1-think,zero-shot-deberta,0.7111199042326332,0.78
LLM,deepseek-r1-think-2,zero-shot-deberta,nan,0.49
LLM,phi4-mini,zero-shot-deberta,0.6315780807406771,0.79
LLM,deepseek-r1-think-combined,zero-shot-deberta,0.715338802918755,0.8
LLM,ministral-3,zero-shot-deberta,0.7095593902858427,0.66
LLM,openai-gpt-oss-120b,zero-shot-deberta,0.7301450258012684,0.74
LLM,qwen2.5-coder,five-shot-deberta,0.63312380680573,0.78
LLM,olmo-3-think,five-shot-deberta,0.7014606458589363,0.74
LLM,granite3.3,five-shot-deberta,0.668704296327561,0.75
LLM,llama3.1,five-shot-deberta,0.28744008537124377,0.67
LLM,olmo-3-7b-instruct,five-shot-deberta,0.593527943675578,0.67
LLM,gemma3,five-shot-deberta,0.6870162606107253,0.79
LLM,deepseek-r1,five-shot-deberta,0.6637903790623527,0.77
LLM,qwen3,five-shot-deberta,0.6459431465798539,0.77
LLM,deepseek-r1-think,five-shot-deberta,0.715338802918755,0.8
LLM,phi4-mini,five-shot-deberta,0.4648531283510796,0.73
LLM,ministral-3,five-shot-deberta,0.689010247419072,0.65
LLM,openai-gpt-oss-120b,five-shot-deberta,0.7424565519915377,0.74
